rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
15,15,0.2,10,ostacoli_2,1,"(2, 7)","(9, 13)",11.485281374238571,0.009254199918359518,9,0,62,61,3,11.48528137423857,0.019645299995318055,17,0,53,37,3,True
15,15,0.2,10,ostacoli_2,2,"(6, 6)","(14, 13)",10.899494936611665,0.0010309999343007803,1,0,0,0,1,10.899494936611665,0.001299399882555008,1,0,0,0,1,True
15,15,0.2,10,ostacoli_2,3,"(4, 4)","(14, 12)",13.313708498984761,0.026022799778729677,21,0,72,55,6,13.313708498984761,0.034463300136849284,30,0,71,49,5,True
15,15,0.2,10,ostacoli_2,4,"(2, 2)","(10, 9)",11.485281374238571,0.07753480016253889,68,2,132,266,8,11.485281374238571,0.05663600005209446,47,0,101,135,6,True
15,15,0.2,10,ostacoli_2,5,"(1, 1)","(11, 14)",17.14213562373095,0.0025373001117259264,2,0,43,42,2,17.14213562373095,0.003515999997034669,3,0,27,25,2,True
15,15,0.2,10,ostacoli_2,6,"(5, 1)","(8, 8)",8.242640687119284,0.0040918998420238495,4,0,34,31,2,8.242640687119284,0.0034880999010056257,3,0,44,42,2,True
15,15,0.2,10,ostacoli_2,7,"(3, 2)","(8, 12)",12.899494936611667,0.023252899991348386,22,2,58,49,4,12.899494936611667,0.02253519999794662,19,0,64,50,5,True
15,15,0.2,10,ostacoli_2,8,"(4, 2)","(10, 10)",10.485281374238571,0.002459299983456731,2,0,33,32,2,10.485281374238571,0.0023070001043379307,2,0,40,39,2,True
15,15,0.2,10,ostacoli_2,9,"(2, 5)","(9, 11)",10.899494936611665,0.0797562999650836,75,9,83,112,5,10.899494936611667,0.009549800073727965,8,0,77,76,3,True
15,15,0.2,10,ostacoli_2,10,"(2, 5)","(8, 14)",11.485281374238571,0.0034299001563340425,3,0,42,40,2,11.485281374238571,0.0035333000123500824,3,0,58,56,2,True
