rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
12,12,0.2,10,dimensione_4,1,"(1, 2)","(7, 10)",10.485281374238571,0.0026680000592023134,4,0,24,21,2,10.485281374238571,0.0019865999929606915,3,0,32,30,2,True
12,12,0.2,10,dimensione_4,2,"(1, 5)","(7, 8)",8.65685424949238,0.00930999987758696,14,0,29,19,3,8.65685424949238,0.0019279001280665398,3,0,25,23,2,True
12,12,0.2,10,dimensione_4,3,"(5, 5)","(7, 9)",4.82842712474619,0.0005912999622523785,1,0,0,0,1,4.82842712474619,0.0005682001356035471,1,0,0,0,1,True
12,12,0.2,10,dimensione_4,4,"(5, 0)","(9, 8)",9.656854249492381,0.08009199984371662,105,2,65,67,5,9.65685424949238,0.002669000066816807,4,0,28,25,2,True
12,12,0.2,10,dimensione_4,5,"(4, 3)","(7, 9)",8.65685424949238,0.00456139980815351,7,0,13,7,3,8.65685424949238,0.011869400041177869,18,0,30,14,4,True
12,12,0.2,10,dimensione_4,6,"(2, 1)","(7, 8)",9.071067811865476,0.0007434999570250511,1,0,0,0,1,9.071067811865476,0.0006206000689417124,1,0,0,0,1,True
12,12,0.2,10,dimensione_4,7,"(3, 1)","(8, 10)",11.071067811865476,0.002120800083503127,3,0,27,25,2,11.071067811865476,0.002002499997615814,3,0,28,26,2,True
12,12,0.2,10,dimensione_4,8,"(4, 3)","(8, 8)",6.656854249492381,0.0006339000537991524,1,0,0,0,1,6.656854249492381,0.000619600061327219,1,0,0,0,1,True
12,12,0.2,10,dimensione_4,9,"(3, 5)","(7, 10)",6.656854249492381,0.0005793001037091017,1,0,0,0,1,6.656854249492381,0.0005260000471025705,1,0,0,0,1,True
12,12,0.2,10,dimensione_4,10,"(2, 0)","(7, 7)",9.071067811865476,0.0020473001059144735,3,0,32,30,2,9.071067811865476,0.0014152999501675367,2,0,37,36,2,True
