rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
20,20,0.2,10,dimensione_7,1,"(7, 9)","(14, 15)",9.485281374238571,0.0018333999905735254,1,0,0,0,1,9.485281374238571,0.001954300096258521,1,0,0,0,1,True
20,20,0.2,10,dimensione_7,2,"(8, 9)","(18, 13)",11.65685424949238,0.006646499969065189,3,0,108,106,2,11.65685424949238,0.011907999869436026,6,0,46,41,2,True
20,20,0.2,10,dimensione_7,3,"(5, 3)","(19, 18)",20.79898987322333,0.0018833999056369066,1,0,0,0,1,20.79898987322333,0.002215699991211295,1,0,0,0,1,True
20,20,0.2,10,dimensione_7,4,"(0, 4)","(17, 12)",20.899494936611664,0.9189540999941528,435,29,163,674,9,20.899494936611664,0.1838438999839127,87,3,169,279,7,True
20,20,0.2,10,dimensione_7,5,"(3, 6)","(15, 14)",15.899494936611664,26.096606200095266,10720,466,219,4296,15,15.899494936611664,0.5708794000092894,228,0,214,787,8,True
20,20,0.2,10,dimensione_7,6,"(8, 6)","(12, 15)",10.65685424949238,0.0020152998622506857,1,0,0,0,1,10.65685424949238,0.0024969999212771654,1,0,0,0,1,True
20,20,0.2,10,dimensione_7,7,"(9, 8)","(15, 18)",12.485281374238571,0.0018088000360876322,1,0,0,0,1,12.485281374238571,0.002356400014832616,1,0,0,0,1,True
20,20,0.2,10,dimensione_7,8,"(4, 2)","(12, 16)",17.31370849898476,0.014608699828386307,6,0,94,89,3,17.31370849898476,0.006907999981194735,3,0,63,61,2,True
20,20,0.2,10,dimensione_7,9,"(9, 6)","(19, 15)",14.313708498984761,0.2515235999599099,107,7,153,179,7,14.313708498984761,0.1746978999581188,79,6,121,274,8,True
20,20,0.2,10,dimensione_7,10,"(9, 9)","(19, 17)",13.31370849898476,0.007847099797800183,3,0,88,86,2,13.31370849898476,0.0097161999437958,4,0,32,29,2,True
