rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
15,15,0.15,10,ostacoli_1,1,"(3, 7)","(14, 8)",12.242640687119284,0.010732599999755621,9,0,82,77,3,12.242640687119284,0.006040100008249283,5,0,52,48,3,True
15,15,0.15,10,ostacoli_1,2,"(1, 1)","(8, 13)",14.899494936611665,0.008244500029832125,6,0,72,67,3,14.899494936611665,0.004121199948713183,3,0,55,53,2,True
15,15,0.15,10,ostacoli_1,3,"(1, 2)","(14, 11)",16.727922061357855,0.003062700154259801,2,0,39,38,2,16.727922061357855,0.025408799992874265,19,0,110,144,4,True
15,15,0.15,10,ostacoli_1,4,"(4, 3)","(13, 12)",12.727922061357857,0.0010620001703500748,1,0,0,0,1,12.727922061357857,0.0010486999526619911,1,0,0,0,1,True
15,15,0.15,10,ostacoli_1,5,"(0, 1)","(10, 13)",18.142135623730955,0.009767599869519472,8,0,57,50,3,18.142135623730955,0.1890066999476403,143,0,84,23,5,True
15,15,0.15,10,ostacoli_1,6,"(1, 0)","(11, 12)",16.14213562373095,0.0012829999905079603,1,0,0,0,1,16.14213562373095,0.0012783000711351633,1,0,0,0,1,True
15,15,0.15,10,ostacoli_1,7,"(5, 0)","(10, 10)",12.071067811865476,0.0034559001214802265,3,0,52,50,2,12.071067811865476,0.0022812001407146454,2,0,29,28,2,True
15,15,0.15,10,ostacoli_1,8,"(2, 0)","(11, 8)",12.899494936611665,0.01827399991452694,14,0,92,109,3,12.899494936611665,0.01127050002105534,9,0,65,77,3,True
15,15,0.15,10,ostacoli_1,9,"(1, 7)","(10, 10)",10.242640687119284,0.004571900004521012,4,0,49,46,2,10.242640687119286,0.07704490004107356,60,2,71,49,5,True
15,15,0.15,10,ostacoli_1,10,"(6, 5)","(11, 14)",11.071067811865476,0.004687000066041946,3,0,82,80,2,11.071067811865476,0.005021700169891119,4,0,51,48,2,True
