rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
15,15,0.4,10,ostacoli_6,1,"(0, 3)","(11, 12)",17.313708498984763,2.068498299922794,2486,183,96,164,16,17.31370849898476,0.21080729993991554,254,19,85,139,12,True
15,15,0.4,10,ostacoli_6,2,"(0, 5)","(13, 8)",15.899494936611665,0.0959656999912113,118,5,86,214,8,15.899494936611667,1.4718599999323487,1662,25,93,169,10,True
15,15,0.4,10,ostacoli_6,3,"(2, 1)","(10, 14)",inf,0.0009065000340342522,1,0,0,0,1,inf,23.489660599967465,28118,1568,106,0,18,True
15,15,0.4,10,ostacoli_6,4,"(6, 1)","(8, 11)",11.65685424949238,0.04071439988911152,30,0,54,85,5,11.65685424949238,0.02913559996522963,28,1,55,60,5,True
15,15,0.4,10,ostacoli_6,5,"(6, 3)","(8, 9)",8.485281374238571,0.006232700077816844,4,0,20,17,3,8.485281374238571,0.004216799978166819,5,0,34,30,3,True
15,15,0.4,10,ostacoli_6,6,"(5, 4)","(13, 10)",11.071067811865476,0.2388456000480801,307,32,63,99,10,11.071067811865476,0.006985899992287159,8,0,35,28,5,True
15,15,0.4,10,ostacoli_6,7,"(7, 5)","(10, 11)",7.242640687119285,0.0033686000388115644,4,0,35,32,3,7.242640687119285,0.0028429999947547913,3,0,21,19,3,True
15,15,0.4,10,ostacoli_6,8,"(7, 4)","(9, 8)",13.899494936611665,0.16328010009601712,207,15,81,318,7,13.899494936611667,0.17147439997643232,200,8,89,156,9,True
15,15,0.4,10,ostacoli_6,9,"(6, 2)","(12, 12)",13.899494936611665,0.027054700069129467,30,0,41,32,7,13.899494936611667,0.137057299958542,184,29,66,121,11,True
15,15,0.4,10,ostacoli_6,10,"(0, 5)","(9, 14)",21.313708498984763,0.08464849996380508,98,0,70,95,11,21.31370849898476,0.23774120002053678,293,20,82,212,11,True
