rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
15,15,0.5,10,ostacoli_8,1,"(4, 2)","(9, 10)",19.14213562373095,0.17120079998858273,244,33,57,158,8,19.14213562373095,0.10151050006970763,150,13,74,122,9,True
15,15,0.5,10,ostacoli_8,2,"(2, 6)","(10, 10)",inf,0.0198212000541389,27,1,15,0,5,inf,0.03749369992874563,51,0,38,0,7,True
15,15,0.5,10,ostacoli_8,3,"(1, 0)","(11, 8)",inf,0.0008406999986618757,1,0,0,0,1,inf,2.5515308000613004,3646,168,76,0,16,True
15,15,0.5,10,ostacoli_8,4,"(7, 5)","(10, 10)",6.242640687119286,0.0007075001485645771,1,0,0,0,1,6.242640687119286,0.0006204999517649412,1,0,0,0,1,True
15,15,0.5,10,ostacoli_8,5,"(4, 0)","(12, 14)",inf,0.452209800016135,613,13,65,0,15,inf,0.003914600005373359,5,0,4,0,4,True
15,15,0.5,10,ostacoli_8,6,"(4, 5)","(8, 11)",10.485281374238571,0.03109610010869801,46,2,54,63,6,10.485281374238571,0.12682970007881522,181,8,63,70,9,True
15,15,0.5,10,ostacoli_8,7,"(0, 6)","(9, 10)",14.899494936611667,0.054019000148400664,78,4,52,52,8,14.899494936611667,0.01705630007199943,29,6,32,37,7,True
15,15,0.5,10,ostacoli_8,8,"(0, 2)","(12, 13)",inf,1.0220699000637978,1495,106,86,0,12,inf,0.0007790001109242439,1,0,0,0,1,True
15,15,0.5,10,ostacoli_8,9,"(2, 6)","(9, 10)",31.627416997969522,0.517827200004831,732,47,64,16,13,31.62741699796952,0.6700561998877674,941,44,69,48,14,True
15,15,0.5,10,ostacoli_8,10,"(6, 7)","(8, 12)",5.82842712474619,0.0014007999561727047,2,0,12,11,2,5.82842712474619,0.0017272001132369041,2,0,5,4,2,True
