rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
7,7,0.2,20,dimensione_1,1,"(3, 0)","(4, 5)",5.414213562373095,0.0002263002097606659,1,0,0,0,1,5.414213562373095,0.00017230003140866756,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,2,"(1, 2)","(5, 4)",4.82842712474619,0.00017409981228411198,1,0,0,0,1,4.82842712474619,0.00015540001913905144,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,3,"(0, 1)","(5, 4)",7.0710678118654755,0.002306500216946006,11,0,19,14,3,7.0710678118654755,0.0018579999450594187,9,0,14,8,4,True
7,7,0.2,20,dimensione_1,4,"(0, 0)","(6, 4)",8.485281374238571,0.004814499989151955,21,2,18,5,4,8.485281374238571,0.00816359999589622,37,0,26,27,5,True
7,7,0.2,20,dimensione_1,5,"(1, 3)","(4, 5)",3.8284271247461903,0.00024630012921988964,1,0,0,0,1,3.8284271247461903,0.00023479992523789406,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,6,"(2, 3)","(4, 4)",2.414213562373095,0.00022130017168819904,1,0,0,0,1,2.414213562373095,0.00017869984731078148,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,7,"(1, 1)","(6, 6)",7.0710678118654755,0.00016289995983242989,1,0,0,0,1,7.0710678118654755,0.00016659987159073353,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,8,"(1, 1)","(4, 6)",6.242640687119286,0.00017349980771541595,1,0,0,0,1,6.242640687119286,0.00016289995983242989,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,9,"(3, 2)","(5, 4)",2.8284271247461903,0.0002617000136524439,1,0,0,0,1,2.8284271247461903,0.00017950008623301983,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,10,"(1, 0)","(6, 6)",8.071067811865476,0.0001559997908771038,1,0,0,0,1,8.071067811865476,0.00014530005864799023,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,11,"(0, 2)","(4, 4)",4.82842712474619,0.0001542000100016594,1,0,0,0,1,4.82842712474619,0.0002251998521387577,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,12,"(3, 2)","(6, 6)",5.242640687119286,0.00019890000112354755,1,0,0,0,1,5.242640687119286,0.0002607000060379505,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,13,"(3, 3)","(5, 5)",2.8284271247461903,0.000210900092497468,1,0,0,0,1,2.8284271247461903,0.0002218999434262514,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,14,"(0, 0)","(6, 5)",8.071067811865476,0.0001463000662624836,1,0,0,0,1,8.071067811865476,0.00015159999020397663,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,15,"(1, 2)","(4, 5)",4.242640687119286,0.0001754998229444027,1,0,0,0,1,4.242640687119286,0.00016569998115301132,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,16,"(2, 3)","(4, 5)",2.8284271247461903,0.00016409996896982193,1,0,0,0,1,2.8284271247461903,0.00016729999333620071,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,17,"(3, 2)","(6, 6)",5.242640687119286,0.0001892000436782837,1,0,0,0,1,5.242640687119286,0.00017889984883368015,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,18,"(1, 0)","(4, 6)",8.071067811865476,0.0009512000251561403,5,0,5,1,2,8.071067811865476,0.0014761998318135738,7,0,13,7,2,True
7,7,0.2,20,dimensione_1,19,"(1, 3)","(4, 5)",3.8284271247461903,0.00020790006965398788,1,0,0,0,1,3.8284271247461903,0.00016870000399649143,1,0,0,0,1,True
7,7,0.2,20,dimensione_1,20,"(1, 3)","(5, 6)",5.82842712474619,0.0010168999433517456,4,0,12,9,2,5.82842712474619,0.0006979999598115683,3,0,9,7,2,True
