rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
5,5,0.2,20,dimensione_0,1,"(2, 1)","(4, 3)",2.8284271247461903,0.0001656000968068838,1,0,0,0,1,2.8284271247461903,0.00010950001887977123,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,2,"(1, 0)","(3, 4)",4.82842712474619,0.00012659979984164238,1,0,0,0,1,4.82842712474619,9.890017099678516e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,3,"(1, 2)","(4, 3)",3.414213562373095,8.499994874000549e-05,1,0,0,0,1,3.414213562373095,8.379993960261345e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,4,"(2, 2)","(3, 3)",1.4142135623730951,6.890017539262772e-05,1,0,0,0,1,1.4142135623730951,6.569991819560528e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,5,"(2, 0)","(4, 4)",4.82842712474619,0.00022749998606741428,2,0,5,4,2,4.82842712474619,0.00021290010772645473,2,0,4,3,2,True
5,5,0.2,20,dimensione_0,6,"(1, 2)","(4, 4)",3.8284271247461903,7.469998672604561e-05,1,0,0,0,1,3.8284271247461903,8.429982699453831e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,7,"(2, 1)","(3, 4)",3.414213562373095,7.129996083676815e-05,1,0,0,0,1,3.414213562373095,7.029995322227478e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,8,"(0, 0)","(3, 3)",4.82842712474619,0.0003073001280426979,3,0,5,3,2,4.82842712474619,0.00018880004063248634,2,0,1,0,2,True
5,5,0.2,20,dimensione_0,9,"(0, 2)","(4, 3)",4.414213562373095,0.0001004999503493309,1,0,0,0,1,4.414213562373095,8.270004764199257e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,10,"(2, 1)","(3, 4)",4.242640687119286,0.00041850004345178604,4,0,4,1,3,4.242640687119286,0.0003961001057177782,4,0,5,2,3,True
5,5,0.2,20,dimensione_0,11,"(2, 0)","(4, 3)",3.8284271247461903,8.299993351101875e-05,1,0,0,0,1,3.8284271247461903,7.449998520314693e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,12,"(1, 2)","(4, 3)",4.242640687119286,0.00040760007686913013,4,0,4,1,2,4.242640687119286,0.00029639992862939835,3,0,4,2,2,True
5,5,0.2,20,dimensione_0,13,"(0, 1)","(3, 4)",4.242640687119286,8.830009028315544e-05,1,0,0,0,1,4.242640687119286,8.71000811457634e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,14,"(2, 1)","(4, 3)",2.8284271247461903,0.00010000006295740604,1,0,0,0,1,2.8284271247461903,7.250020280480385e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,15,"(2, 2)","(4, 4)",3.414213562373095,0.00021620001643896103,2,0,7,6,2,3.414213562373095,0.00022369995713233948,2,0,6,5,2,True
5,5,0.2,20,dimensione_0,16,"(0, 2)","(4, 4)",4.82842712474619,8.499994874000549e-05,1,0,0,0,1,4.82842712474619,8.359993807971478e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,17,"(2, 0)","(3, 4)",4.414213562373095,8.830009028315544e-05,1,0,0,0,1,4.414213562373095,6.899982690811157e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,18,"(0, 2)","(3, 3)",3.414213562373095,6.910017691552639e-05,1,0,0,0,1,3.414213562373095,6.490014493465424e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,19,"(1, 0)","(4, 3)",4.242640687119286,7.289997301995754e-05,1,0,0,0,1,4.242640687119286,6.610015407204628e-05,1,0,0,0,1,True
5,5,0.2,20,dimensione_0,20,"(1, 0)","(3, 3)",3.8284271247461903,8.510006591677666e-05,1,0,0,0,1,3.8284271247461903,6.280001252889633e-05,1,0,0,0,1,True
