id_scenario,run_num,rows,cols,obstacle_ratio,origin,destination,lunghezza_OD,execution_time_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,correttezza_superata
Dim-25x25,1,25,25,0.2,"(2, 23)","(5, 7)",18.071067811865476,0.20967939996626228,25,266,6,18.071067811865476,True
Dim-25x25,2,25,25,0.2,"(7, 19)","(10, 3)",17.242640687119284,192.72585020004772,25,301,20,17.242640687119284,True
Dim-25x25,3,25,25,0.2,"(13, 21)","(12, 2)",20.242640687119284,1.246260300045833,25,2026,11,20.242640687119284,True
Obs-10%,1,25,25,0.1,"(18, 10)","(16, 19)",9.82842712474619,0.00396759994328022,0,0,1,9.82842712474619,True
Obs-10%,2,25,25,0.1,"(7, 9)","(16, 0)",13.31370849898476,0.009959200047887862,24,171,2,13.31370849898476,True
Obs-10%,3,25,25,0.1,"(15, 9)","(23, 23)",17.31370849898476,0.007158600026741624,24,127,2,17.31370849898476,True
Obs-10%,4,25,25,0.1,"(14, 9)","(7, 19)",12.899494936611667,0.3721561999991536,25,130,6,12.899494936611667,True
Obs-10%,5,25,25,0.1,"(3, 22)","(4, 17)",5.414213562373095,0.004135399940423667,0,0,1,5.414213562373095,True
